date,jpm_daily_return,jpm_rolling_vol_5d,jpm_rolling_vol_20d,jpm_rolling_vol_60d,jpm_return_5d_sum,jpm_return_20d_sum,vix_level,vix_change,vix_return,vix_rolling_mean_20d,vix_jpm_corr_20d,dgs1_rate,dgs1_rate_change,dgs1_rate_momentum_20d,jpm_log_volume,jpm_dividend_amount,dividend_event_flag,dividend_growth_yoy,sentiment_score_0_1,market_stress_score_0_1,jpm_return_outlier_iqr,vix_level_outlier_iqr,jpm_daily_return_lag_1,jpm_daily_return_lag_5,jpm_daily_return_lag_20,jpm_rolling_vol_20d_lag_1,jpm_rolling_vol_20d_lag_5,jpm_rolling_vol_20d_lag_20,vix_level_lag_1,vix_level_lag_5,vix_level_lag_20,dgs1_rate_lag_1,dgs1_rate_lag_5,dgs1_rate_lag_20
2018-06-08,0.0027980971934473,0.1715785314496789,0.2293052859543328,0.2420263622433154,0.024692762729838703,-0.028218065130452604,12.18,0.0499999999999989,0.0041220115416322,13.3525,-0.7908703733273574,2.3,-0.0100000000000002,0.0299999999999998,16.155699769665105,0.0,0,0.0,0.9273333333333332,0.0726666666666666,0,0,0.003986749327157,0.0129895095831216,0.007759400542044,0.2311672916713593,0.2401058417550605,0.1809247644889055,12.13,13.46,13.23,2.31,2.28,2.27
2018-06-11,-0.002520466456368,0.1776852236921199,0.2291779422021597,0.241979913457412,0.0217080675612423,-0.026972284139960005,12.35,0.1699999999999999,0.0139573070607552,13.3375,-0.8009124191327465,2.32,0.02,0.04,16.35260642984338,0.0,0,0.0,0.9216666666666666,0.0783333333333333,0,0,0.0027980971934473,0.0004611532877398,-0.003762333789692,0.2293052859543328,0.23688641666529,0.1493326115830941,12.18,12.74,12.65,2.3,2.3,2.28
2018-06-12,-0.0057744438713235,0.178221190982314,0.2296103961082915,0.2421657868568447,0.021557313657886202,-0.03311503617937041,12.34,-0.0099999999999997,-0.0008097165991902,13.308000000000002,-0.8015148078294001,2.31,-0.0099999999999997,0.0300000000000002,16.542977756461454,0.0,0,0.0,0.922,0.0779999999999999,0,0,-0.002520466456368,-0.0056245491896004,0.0003516334149589,0.2291779422021597,0.2354088361145238,0.1491406568618802,12.35,12.4,12.93,2.32,2.32,2.28
2018-06-13,-0.0019964937217028,0.0640080898245901,0.2285208011055483,0.2417152658086146,-0.0035403048765276965,-0.027445559763940103,12.94,0.5999999999999996,0.0486223662884925,13.223499999999998,-0.813981750732209,2.35,0.04,0.04,16.52220657590755,0.0,0,0.0,0.902,0.0979999999999999,0,0,-0.0057744438713235,0.0233679801300497,-0.0076386419370062,0.2296103961082915,0.2444113520809952,0.1527046917532047,12.34,11.64,14.63,2.31,2.32,2.31
2018-06-14,-0.0176409241632439,0.1230389850428003,0.2351520623488568,0.2442443853463428,-0.025317507966896597,-0.04798290941454571,12.12,-0.8200000000000003,-0.0633693972179288,13.1585,-0.7427014032103754,2.35,0.0,0.0300000000000002,16.83531578874727,0.0,0,0.0,0.9293333333333332,0.0706666666666666,0,0,-0.0019964937217028,0.003986749327157,0.0027427242662658,0.2285208011055483,0.2311672916713593,0.1486764955365539,12.94,12.13,13.42,2.35,2.31,2.32
2018-06-15,-0.0012034224694851,0.1094791829292556,0.2351598527622988,0.2442169164384445,-0.029315844937299298,-0.045828861300895606,11.98,-0.1399999999999988,-0.0115511551155114,13.086,-0.7427841546098071,2.35,0.0,0.0300000000000002,17.074706529848335,0.0,0,0.0,0.934,0.066,0,0,-0.0176409241632439,0.0027980971934473,-0.0033525628463604,0.2351520623488568,0.2293052859543328,0.1295509929679601,12.12,12.18,13.43,2.35,2.3,2.32
2018-06-18,0.002595096345886,0.1243260411590679,0.2297037170451847,0.2283009259854995,-0.0242004618603147,-0.026903918823207806,12.31,0.33,0.0275459098497496,13.0305,-0.7518341677925015,2.35,0.0,0.0300000000000002,16.096545199106316,0.0,0,0.0,0.923,0.0769999999999999,0,0,-0.0012034224694851,-0.002520466456368,-0.016200544001072,0.2351598527622988,0.2291779422021597,0.1425825475656565,11.98,12.35,13.42,2.35,2.32,2.32
2018-06-19,-0.0058238975067352,0.1243505133178475,0.2267727736688283,0.2216553263962903,-0.0242502039586554,-0.04188149138515311,13.35,1.0399999999999991,0.0844841592201461,13.044,-0.7471837263142647,2.34,-0.0100000000000002,-0.0100000000000002,16.35767939861461,0.0,0,0.0,0.8883333333333333,0.1116666666666666,0,0,0.002595096345886,-0.0057744438713235,0.009178516627176,0.2297037170451847,0.2296103961082915,0.145089702361382,12.31,12.34,13.08,2.35,2.31,2.35
2018-06-20,-9.306594865843287e-05,0.1277914002284476,0.2240153911934648,0.2125294396532184,-0.022344784866280238,-0.04961355860806875,12.79,-0.5600000000000005,-0.0419475655430712,13.0225,-0.7586998294124963,2.36,0.02,0.02,15.99896306757191,0.0,0,0.0,0.907,0.0929999999999999,0,0,-0.0058238975067352,-0.0019964937217028,0.0076682485172918,0.2267727736688283,0.2285208011055483,0.1457814981695964,13.35,12.94,13.22,2.34,2.35,2.34
2018-06-21,-0.000278780619774,0.0487435806000406,0.2239966557907069,0.2087087501679998,-0.004825224563352838,-0.04528044592738325,14.64,1.8500000000000012,0.1446442533229086,13.1255,-0.7134515806086303,2.34,-0.02,0.0499999999999998,16.217823422456636,0.0,0,0.0,0.8453333333333333,0.1546666666666667,0,0,-9.306594865843287e-05,-0.0176409241632439,-0.0046013135382473,0.2240153911934648,0.2351520623488568,0.1461711393345865,12.79,12.12,12.58,2.36,2.35,2.29
